"name","hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave"
1,127
2,80
3,49
4,16
5,56
6,56
7,38
8,47
9,46
10,32
11,36
12,35
13,58
14,36
15,18
16,27
17,26
18,36
19,46
20,69
21,48
22,39
23,32
24,42
25,22
26,28
27,51
28,55
29,29
30,36
31,104
32,90
33,108
34,66
35,98
36,58
37,36
38,50
39,54
40,104
41,33
42,38
43,43
44,119
45,64
46,77
47,33
48,33
49,55
50,89
51,77
52,74
53,37
54,51
55,21
56,26
57,51
58,43
59,30
60,40
61,52
62,41
63,38
64,54
65,54
66,16
67,62
68,61
69,13
70,18
71,29
72,24
73,45
74,24
75,35
76,60
77,56
78,51
79,10
80,67
81,48
82,45
83,48
84,74
85,39
86,35
87,20
88,66
89,60
90,17
91,63
92,39
93,45
94,30
95,77
96,16
97,24
98,92
99,104
100,71
101,37
102,89
103,63
104,145
105,45
106,42
107,18
108,78
109,45
110,82
111,72
112,75
113,62
114,42
115,87
116,83
117,117
118,20
119,41
120,114
121,34
122,112
123,16
124,69
125,46
126,64
127,76
128,92
129,37
130,38
131,100
132,86
133,93
134,49
135,23
136,34
137,46
138,99
139,85
140,16
141,76
142,58
143,140
144,19
145,40
146,234
147,57
148,101
149,198
150,29
151,18
152,8
153,34
154,17
155,116
156,47
157,22
158,60
159,22
160,86
161,82
162,54
163,65
164,92
165,35
166,7
167,128
168,146
169,40
170,84
171,69
172,8554
173,467
174,469
175,178
176,1168
177,500
178,451
179,231
180,227
181,88
182,36
183,30
184,121
185,56
186,66
187,29
188,77
189,94
190,26
191,62
192,97
193,156
194,84
195,19
196,34
197,85
198,21
199,119
200,15
201,38
202,177
203,65
204,399
205,290
206,98
207,37
208,24
209,96
210,63
211,42
212,41
213,19
214,76
215,77
216,19
217,209
218,22
219,38
220,88
221,107
222,53
223,46
224,215
225,48
226,118
227,52
228,81
229,315
230,48
231,729
232,218
233,118
234,2029
235,912
236,80
237,5502
238,213
239,157
240,42
241,54
242,270
243,488
244,731
245,52
246,396
247,7436
248,392
249,3034
250,112
251,51
252,32
253,99
254,62
255,233
256,65
257,264
258,233
259,186
260,1245
261,293
262,1961
263,28
264,43
265,96
266,76
267,46
268,107
269,55
270,25
271,2037
272,878
273,64
274,29
275,167
276,39
277,50
278,31
279,93
280,33
281,52
282,27
283,42
284,37
285,64
286,56
287,36
288,89
289,126
290,117
291,96
292,284
293,166
294,38
295,66
296,220
297,98
298,221
299,228
300,267
301,41
302,269
303,1174
304,253
305,146
306,210
307,1251
308,140
309,286
310,142
311,1111
312,110
313,119
314,59
315,59
316,59
317,29
318,30
319,66
320,158
321,43
322,127
323,198
324,51
325,21
326,76
327,62
328,111
329,70
330,37
331,36
332,35
333,122
334,76
335,268
336,112
337,1354
338,153
339,122
340,154
341,262
342,95
343,229
344,56
345,133
346,71
347,137
348,1270
349,344
350,260
351,41
352,123
353,40
354,59
355,118
356,281
357,283
358,72
359,268
360,242
361,183
362,153
363,58
364,41
365,87
366,51
367,92
368,105
369,52
370,51
371,79
372,65
373,84
374,26
375,70
376,35
377,51
378,58
379,57
380,30
381,99
382,75
383,38
384,43
385,106
386,103
387,171
388,69
389,47
390,48
391,65
392,50
393,185
394,51
395,26
396,93
397,1
398,20
399,81
400,56
401,146
402,58
403,197
404,49
405,46
406,43
407,100
408,53
409,62
410,268
411,68
412,36
413,166
414,187
415,871
416,35
417,32
418,33
419,10
420,4
421,110
422,146
423,129
424,1191
425,79
426,120
427,61
428,52
429,53
430,76
431,63
432,66
433,23
434,62
435,74
436,52
437,58
438,52
439,44
440,29
441,18
442,79
443,112
444,84
445,154
446,64
447,82
448,1
449,56
450,25
451,40
452,77
453,23
454,51
455,26
456,62
457,33
458,89
459,56
460,51
461,78
462,56
463,91
464,25
465,29
466,44
467,42
468,54
469,75
470,28
471,40
472,57
473,54
474,113
475,36
476,32
477,114
478,46
479,45
480,47
481,118
482,28
483,34
484,35
485,67
486,65
487,51
488,50
489,47
490,49
491,46
492,114
493,43
494,68
495,97
496,33
497,65
498,36
499,47
500,37
