"name","hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0.00649079264082334
11,0
12,0
13,0
14,0.00124890711676528
15,0
16,0
17,0.0117217529467213
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0.0157951827327553
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0.000135393054898239
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0.000559875945181748
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0.00122115462689748
97,0.00510063377098826
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0.0363564233834444
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0.0181692083976026
153,0
154,0.153616657087022
155,0.0180498658377424
156,0.0828319439038564
157,0.105522680673157
158,0.0709549971636762
159,0.142386697164298
160,0.0442287297095117
161,0.093257977515997
162,0.124191663641056
163,0.202287495554823
164,0.024298314818856
165,0.0645509030372167
166,0.0346815823430766
167,0.00296087910418409
168,0.00338870400191229
169,0.0720006795557696
170,0.0617132412871456
171,0.02231776215994
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0.00434939951965478
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0.00175921223510408
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0.0157369836295629
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0.0174592163207689
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0.00214385111278618
287,0.0162453197605195
288,0.0090811233782643
289,0.0108885837801749
290,0.00159576579257494
291,0
292,0
293,0.00753769551573453
294,0.00963236664291006
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0.00838014459743003
306,0.00061969252270819
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0.0106448286608962
315,0.00294259082551789
316,0.00500883712575846
317,0.0408120158768443
318,0.0132537048540471
319,0
320,0
321,0
322,0
323,0
324,0
325,0.00860395693754112
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0.00064517156482009
341,0
342,0
343,0
344,0
345,0
346,0.00655823417105713
347,0
348,0
349,0
350,0
351,0
352,0
353,0.00467754373371403
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0.000582982671353535
364,0
365,0
366,0.000644899208100408
367,0
368,0
369,0.00711357882597388
370,0.0351786976803017
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0.00153774185451736
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0.0061623965583747
395,0
396,0
397,0.136503047145385
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0.00403385782003323
417,0
418,0
419,0.0609063680759037
420,0.0576826139853557
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0.00437922131502404
429,0
430,0
431,0.00641763200853516
432,0
433,0.0237684757807377
434,0
435,0.00390129744116646
436,0
437,0.0190804907340278
438,0
439,0.0203011139168044
440,0.0339212866608347
441,0.0203062248862083
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0.000111910129428592
450,0
451,0.00022440321455801
452,0
453,0.0419069880345322
454,0.0110031276974749
455,0.0299129543767629
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0.000869854709334042
465,0.0263888844107268
466,0
467,0
468,0
469,0
470,0.0100709380670955
471,0.0132896975955442
472,0
473,0.00168522543251678
474,0.000188087752376891
475,0
476,0
477,0
478,0
479,0.0211912462005218
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0.0011011285188584
489,0.0176826768901793
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0.0307269439931359
