"name","hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave"
1,1
2,1
3,1
4,1
5,NA
6,1
7,NA
8,1
9,1
10,1
11,NA
12,NA
13,NA
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,NA
26,1
27,NA
28,1
29,1
30,NA
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,NA
53,NA
54,NA
55,1
56,1
57,NA
58,1
59,1
60,1
61,1
62,NA
63,1
64,1
65,NA
66,1
67,1
68,1
69,1
70,NA
71,NA
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,NA
81,1
82,1
83,1
84,1
85,1
86,NA
87,1
88,NA
89,1
90,NA
91,1
92,1
93,1
94,NA
95,NA
96,1
97,NA
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,NA
107,1
108,1
109,1
110,1
111,NA
112,1
113,NA
114,1
115,1
116,1
117,NA
118,NA
119,1
120,1
121,NA
122,NA
123,1
124,1
125,1
126,NA
127,1
128,1
129,NA
130,1
131,1
132,NA
133,1
134,1
135,1
136,NA
137,NA
138,1
139,1
140,1
141,1
142,NA
143,1
144,NA
145,1
146,1
147,1
148,NA
149,1
150,1
151,NA
152,NA
153,1
154,NA
155,1
156,1
157,1
158,1
159,NA
160,1
161,NA
162,1
163,1
164,NA
165,1
166,NA
167,1
168,1
169,NA
170,NA
171,NA
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,NA
184,1
185,1
186,NA
187,NA
188,1
189,NA
190,1
191,1
192,1
193,NA
194,NA
195,1
196,1
197,1
198,NA
199,1
200,1
201,NA
202,1
203,NA
204,1
205,NA
206,1
207,1
208,1
209,NA
210,NA
211,NA
212,NA
213,1
214,1
215,1
216,1
217,1
218,1
219,NA
220,1
221,1
222,NA
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,NA
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,NA
249,1
250,1
251,1
252,1
253,NA
254,NA
255,1
256,1
257,1
258,NA
259,NA
260,1
261,1
262,1
263,1
264,NA
265,NA
266,1
267,1
268,1
269,1
270,NA
271,1
272,1
273,NA
274,NA
275,NA
276,1
277,1
278,1
279,1
280,NA
281,NA
282,1
283,1
284,1
285,1
286,1
287,NA
288,1
289,1
290,1
291,1
292,NA
293,NA
294,NA
295,NA
296,NA
297,1
298,NA
299,1
300,1
301,1
302,1
303,NA
304,1
305,1
306,1
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,1
316,NA
317,1
318,NA
319,NA
320,1
321,NA
322,1
323,1
324,1
325,1
326,NA
327,NA
328,1
329,NA
330,NA
331,1
332,1
333,NA
334,1
335,NA
336,1
337,1
338,1
339,NA
340,NA
341,NA
342,NA
343,1
344,NA
345,NA
346,NA
347,1
348,1
349,1
350,NA
351,NA
352,1
353,NA
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,NA
365,1
366,1
367,1
368,1
369,NA
370,NA
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,NA
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,NA
408,NA
409,1
410,1
411,1
412,NA
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,NA
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,NA
431,1
432,1
433,NA
434,1
435,NA
436,1
437,NA
438,NA
439,1
440,NA
441,1
442,NA
443,1
444,1
445,NA
446,NA
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,NA
459,1
460,NA
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,NA
470,NA
471,1
472,NA
473,1
474,1
475,NA
476,NA
477,NA
478,NA
479,NA
480,1
481,1
482,1
483,NA
484,1
485,NA
486,1
487,1
488,1
489,1
490,1
491,NA
492,1
493,1
494,1
495,NA
496,NA
497,1
498,1
499,NA
500,1
