"name","hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave"
1,NA
2,1
3,1
4,1
5,NA
6,1
7,1
8,1
9,1
10,1
11,NA
12,1
13,NA
14,1
15,1
16,NA
17,1
18,NA
19,NA
20,1
21,NA
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,NA
32,NA
33,1
34,NA
35,1
36,NA
37,1
38,1
39,1
40,NA
41,NA
42,1
43,1
44,1
45,1
46,NA
47,1
48,NA
49,1
50,1
51,NA
52,NA
53,1
54,1
55,NA
56,NA
57,NA
58,1
59,1
60,NA
61,1
62,1
63,1
64,1
65,NA
66,1
67,1
68,1
69,NA
70,1
71,1
72,1
73,1
74,1
75,NA
76,1
77,NA
78,1
79,1
80,NA
81,NA
82,1
83,1
84,NA
85,NA
86,NA
87,1
88,1
89,1
90,NA
91,NA
92,NA
93,1
94,1
95,1
96,1
97,1
98,NA
99,NA
100,1
101,NA
102,NA
103,NA
104,1
105,NA
106,1
107,1
108,1
109,NA
110,1
111,NA
112,NA
113,NA
114,1
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,1
122,NA
123,1
124,NA
125,NA
126,1
127,NA
128,NA
129,NA
130,1
131,NA
132,NA
133,NA
134,1
135,1
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,1
143,1
144,NA
145,NA
146,NA
147,1
148,NA
149,1
150,1
151,1
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,1
160,1
161,NA
162,NA
163,1
164,1
165,1
166,1
167,NA
168,1
169,1
170,1
171,1
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,1
191,NA
192,1
193,NA
194,NA
195,1
196,NA
197,NA
198,NA
199,NA
200,1
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,1
211,1
212,1
213,NA
214,NA
215,NA
216,1
217,NA
218,NA
219,1
220,1
221,1
222,NA
223,NA
224,NA
225,1
226,1
227,1
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,1
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,1
251,1
252,1
253,1
254,NA
255,NA
256,1
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,1
265,1
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,1
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,NA
314,1
315,1
316,1
317,1
318,1
319,NA
320,1
321,1
322,1
323,NA
324,NA
325,1
326,1
327,1
328,NA
329,1
330,1
331,1
332,1
333,NA
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,NA
342,1
343,1
344,1
345,1
346,1
347,1
348,NA
349,1
350,1
351,1
352,1
353,1
354,1
355,NA
356,1
357,1
358,1
359,1
360,NA
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,NA
369,1
370,1
371,1
372,1
373,NA
374,NA
375,1
376,1
377,1
378,1
379,NA
380,1
381,NA
382,1
383,1
384,NA
385,1
386,NA
387,NA
388,1
389,NA
390,NA
391,1
392,NA
393,NA
394,NA
395,1
396,NA
397,1
398,NA
399,1
400,NA
401,NA
402,1
403,NA
404,1
405,1
406,1
407,1
408,NA
409,1
410,NA
411,1
412,1
413,NA
414,NA
415,NA
416,NA
417,NA
418,NA
419,1
420,NA
421,1
422,NA
423,1
424,NA
425,1
426,1
427,NA
428,1
429,1
430,1
431,1
432,1
433,NA
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,NA
449,NA
450,NA
451,NA
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,NA
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,NA
496,1
497,1
498,NA
499,NA
500,1
