"name","hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave"
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,1
151,1
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,1
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,1
183,1
184,NA
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,NA
194,1
195,1
196,1
197,1
198,1
199,NA
200,1
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,1
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,1
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,1
281,NA
282,NA
283,NA
284,NA
285,NA
286,1
287,1
288,NA
289,NA
290,NA
291,1
292,NA
293,NA
294,1
295,1
296,NA
297,NA
298,1
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,1
313,1
314,1
315,1
316,1
317,NA
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,NA
341,1
342,1
343,1
344,1
345,NA
346,NA
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,NA
363,NA
364,1
365,1
366,1
367,1
368,1
369,1
370,NA
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,NA
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,NA
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,NA
429,NA
430,NA
431,NA
432,1
433,1
434,NA
435,1
436,1
437,1
438,1
439,NA
440,1
441,NA
442,NA
443,1
444,1
445,NA
446,NA
447,NA
448,NA
449,1
450,1
451,1
452,NA
453,1
454,NA
455,1
456,1
457,1
458,1
459,NA
460,1
461,1
462,1
463,NA
464,1
465,NA
466,1
467,1
468,NA
469,NA
470,NA
471,NA
472,NA
473,NA
474,NA
475,1
476,1
477,NA
478,NA
479,NA
480,NA
481,NA
482,NA
483,NA
484,1
485,NA
486,NA
487,NA
488,NA
489,NA
490,NA
491,NA
492,NA
493,NA
494,1
495,NA
496,1
497,1
498,1
499,1
500,NA
