"name","hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave"
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,1
151,1
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,1
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,1
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,1
231,NA
232,NA
233,1
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,1
242,NA
243,NA
244,NA
245,1
246,NA
247,NA
248,1
249,NA
250,NA
251,1
252,NA
253,NA
254,NA
255,NA
256,NA
257,1
258,NA
259,1
260,NA
261,NA
262,NA
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,NA
272,NA
273,1
274,NA
275,NA
276,NA
277,NA
278,1
279,NA
280,1
281,1
282,NA
283,NA
284,NA
285,NA
286,NA
287,1
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,1
297,1
298,1
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,NA
330,NA
331,NA
332,1
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,1
342,1
343,1
344,1
345,NA
346,NA
347,NA
348,NA
349,NA
350,1
351,NA
352,NA
353,1
354,NA
355,1
356,NA
357,NA
358,NA
359,NA
360,1
361,NA
362,NA
363,NA
364,NA
365,NA
366,1
367,NA
368,NA
369,NA
370,NA
371,NA
372,NA
373,NA
374,NA
375,NA
376,1
377,NA
378,NA
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,NA
408,NA
409,NA
410,NA
411,NA
412,NA
413,NA
414,NA
415,NA
416,NA
417,1
418,NA
419,NA
420,NA
421,NA
422,NA
423,NA
424,NA
425,1
426,NA
427,1
428,NA
429,NA
430,NA
431,NA
432,NA
433,NA
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,1
449,NA
450,1
451,1
452,NA
453,NA
454,NA
455,NA
456,NA
457,NA
458,NA
459,1
460,1
461,NA
462,NA
463,NA
464,NA
465,NA
466,NA
467,NA
468,NA
469,NA
470,NA
471,NA
472,NA
473,NA
474,NA
475,1
476,NA
477,NA
478,NA
479,NA
480,1
481,NA
482,NA
483,1
484,1
485,1
486,NA
487,1
488,NA
489,NA
490,NA
491,NA
492,NA
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
