,hBM-10n-sort-p2-concat-normalized-noCD3-CD14-CD15.fcs.cluster.fcs.anno.Rsave
count,77
mediansTime,1.62802212396291
mediansEvent_length,0.46108947710583
mediansRh103Di,0
mediansIn113Di,0
mediansIn115Di,0
mediansXe131Di,0
mediansCs133Di,0
mediansBa138Di,0.00475739234233287
mediansLa139Di,0.0678952538610532
mediansCe140Di,0
mediansPr141Di,0.033881526391216
mediansNd142Di,0.0434041222053929
mediansNd143Di,0.0180367509835512
mediansNd144Di,0
mediansNd145Di,0
mediansNd146Di,0
mediansSm147Di,0.145778676446022
mediansNd148Di,0
mediansSm149Di,0
mediansNd150Di,0.00222232903899048
mediansEu151Di,0
mediansSm152Di,0.0975752040582722
mediansEu153Di,0
mediansSm154Di,0.680205295128962
mediansGd155Di,0
mediansGd156Di,0
mediansGd158Di,0
mediansTb159Di,0.136546120725967
mediansGd160Di,0.00492332451396877
mediansDy161Di,0
mediansDy162Di,0
mediansDy163Di,0
mediansDy164Di,0
mediansHo165Di,0.12783728230456
mediansEr166Di,0
mediansEr167Di,0
mediansEr168Di,0
mediansTm169Di,0
mediansEr170Di,0.173102648381295
mediansYb171Di,0
mediansYb172Di,0
mediansYb173Di,0
mediansYb174Di,0.0673561887505061
mediansLu175Di,0
mediansYb176Di,0
mediansBCKG190Di,0
mediansIr191Di,0.814751550030751
mediansIr193Di,0.900675019981507
raw_mediansTime,12.2436809539795
raw_mediansEvent_length,2.38801121711731
raw_mediansRh103Di,0
raw_mediansIn113Di,0
raw_mediansIn115Di,0
raw_mediansXe131Di,0
raw_mediansCs133Di,0
raw_mediansBa138Di,0.0237870514392853
raw_mediansLa139Di,0.339737147092819
raw_mediansCe140Di,0
raw_mediansPr141Di,0.169440045952797
raw_mediansNd142Di,0.217088758945465
raw_mediansNd143Di,0.0901886448264122
raw_mediansNd144Di,0
raw_mediansNd145Di,0
raw_mediansNd146Di,0
raw_mediansSm147Di,0.731477797031403
raw_mediansNd148Di,0
raw_mediansSm149Di,0
raw_mediansNd150Di,0.0111116543412209
raw_mediansEu151Di,0
raw_mediansSm152Di,0.488650560379028
raw_mediansEu153Di,0
raw_mediansSm154Di,3.66942501068115
raw_mediansGd155Di,0
raw_mediansGd156Di,0
raw_mediansGd158Di,0
raw_mediansTb159Di,0.68485414981842
raw_mediansGd160Di,0.0246167220175266
raw_mediansDy161Di,0
raw_mediansDy162Di,0
raw_mediansDy163Di,0
raw_mediansDy164Di,0
raw_mediansHo165Di,0.64092880487442
raw_mediansEr166Di,0
raw_mediansEr167Di,0
raw_mediansEr168Di,0
raw_mediansTm169Di,0
raw_mediansEr170Di,0.869842171669006
raw_mediansYb171Di,0
raw_mediansYb172Di,0
raw_mediansYb173Di,0
raw_mediansYb174Di,0.337035655975342
raw_mediansLu175Di,0
raw_mediansYb176Di,0
raw_mediansBCKG190Di,0
raw_mediansIr191Di,4.53966283798218
raw_mediansIr193Di,5.13742160797119
cvsTime,4.87673361762323
cvsEvent_length,8.98935851991828
cvsRh103Di,354.541381847899
cvsIn113Di,568.942973759274
cvsIn115Di,535.138768642894
cvsXe131Di,172.025807791465
cvsCs133Di,358.571888767014
cvsBa138Di,152.732451566845
cvsLa139Di,99.3371975514547
cvsCe140Di,327.402155912399
cvsPr141Di,122.027469719147
cvsNd142Di,109.584899752653
cvsNd143Di,127.469988533436
cvsNd144Di,391.188449526733
cvsNd145Di,656.942025370636
cvsNd146Di,222.807815402893
cvsSm147Di,6.12182702817092
cvsNd148Di,189.237845410928
cvsSm149Di,282.402441561312
cvsNd150Di,158.536991210194
cvsEu151Di,256.551179780175
cvsSm152Di,24.2113671744025
cvsEu153Di,241.450979032268
cvsSm154Di,30.5516286323759
cvsGd155Di,148.885325171667
cvsGd156Di,359.850183650481
cvsGd158Di,163.334510813332
cvsTb159Di,85.0116446035794
cvsGd160Di,148.634161946266
cvsDy161Di,209.782605733826
cvsDy162Di,498.749916327159
cvsDy163Di,154.942339172315
cvsDy164Di,225.961485299151
cvsHo165Di,70.6018644715172
cvsEr166Di,168.621587988699
cvsEr167Di,179.43762009956
cvsEr168Di,248.664922021655
cvsTm169Di,292.678521295388
cvsEr170Di,63.7715585084141
cvsYb171Di,257.867826046635
cvsYb172Di,253.571612821694
cvsYb173Di,264.853122756065
cvsYb174Di,112.127228156085
cvsLu175Di,272.21076796683
cvsYb176Di,258.655306458402
cvsBCKG190Di,417.089149709266
cvsIr191Di,5.4989452142044
cvsIr193Di,5.16772335223835
percenttotal,0.0908275927149193
percenttotalratiolog,0
foldTime,0
foldEvent_length,0
foldRh103Di,0
foldIn113Di,0
foldIn115Di,0
foldXe131Di,0
foldCs133Di,0
foldBa138Di,0
foldLa139Di,0
foldCe140Di,0
foldPr141Di,0
foldNd142Di,0
foldNd143Di,0
foldNd144Di,0
foldNd145Di,0
foldNd146Di,0
foldSm147Di,0
foldNd148Di,0
foldSm149Di,0
foldNd150Di,0
foldEu151Di,0
foldSm152Di,0
foldEu153Di,0
foldSm154Di,0
foldGd155Di,0
foldGd156Di,0
foldGd158Di,0
foldTb159Di,0
foldGd160Di,0
foldDy161Di,0
foldDy162Di,0
foldDy163Di,0
foldDy164Di,0
foldHo165Di,0
foldEr166Di,0
foldEr167Di,0
foldEr168Di,0
foldTm169Di,0
foldEr170Di,0
foldYb171Di,0
foldYb172Di,0
foldYb173Di,0
foldYb174Di,0
foldLu175Di,0
foldYb176Di,0
foldBCKG190Di,0
foldIr191Di,0
foldIr193Di,0
raw_foldTime,1
raw_foldEvent_length,1
raw_foldRh103Di,NA
raw_foldIn113Di,NA
raw_foldIn115Di,NA
raw_foldXe131Di,NA
raw_foldCs133Di,NA
raw_foldBa138Di,1
raw_foldLa139Di,1
raw_foldCe140Di,NA
raw_foldPr141Di,1
raw_foldNd142Di,1
raw_foldNd143Di,1
raw_foldNd144Di,NA
raw_foldNd145Di,NA
raw_foldNd146Di,NA
raw_foldSm147Di,1
raw_foldNd148Di,NA
raw_foldSm149Di,NA
raw_foldNd150Di,1
raw_foldEu151Di,NA
raw_foldSm152Di,1
raw_foldEu153Di,NA
raw_foldSm154Di,1
raw_foldGd155Di,NA
raw_foldGd156Di,NA
raw_foldGd158Di,NA
raw_foldTb159Di,1
raw_foldGd160Di,1
raw_foldDy161Di,NA
raw_foldDy162Di,NA
raw_foldDy163Di,NA
raw_foldDy164Di,NA
raw_foldHo165Di,1
raw_foldEr166Di,NA
raw_foldEr167Di,NA
raw_foldEr168Di,NA
raw_foldTm169Di,NA
raw_foldEr170Di,1
raw_foldYb171Di,NA
raw_foldYb172Di,NA
raw_foldYb173Di,NA
raw_foldYb174Di,1
raw_foldLu175Di,NA
raw_foldYb176Di,NA
raw_foldBCKG190Di,NA
raw_foldIr191Di,1
raw_foldIr193Di,1
